lambda key-point 3-seed summary (consistent anchor)
Seeds: 41, 42, 43
Reference anchor: lambda_rel=0.10, lambda_div=0.10, lambda_nov=0.00

rel=0.00: HV=3698.361634 +- 446.305116, EU=16.391659 +- 0.393036, SP=10.044571 +- 6.639710
rel=0.10: HV=3707.386557 +- 469.079686, EU=16.396441 +- 0.433569, SP=9.086319 +- 5.316538
rel=0.20: HV=3721.597353 +- 478.917170, EU=16.409040 +- 0.447254, SP=8.832089 +- 5.486063

div=0.00: HV=3793.278993 +- 469.057530, EU=16.582089 +- 0.414874, SP=9.434425 +- 5.494616
div=0.10: HV=3707.386557 +- 469.079686, EU=16.396441 +- 0.433569, SP=9.086319 +- 5.316538
div=0.20: HV=3672.636065 +- 426.075157, EU=16.329495 +- 0.358429, SP=8.666056 +- 5.397111

nov=0.00: HV=3707.386557 +- 469.079686, EU=16.396441 +- 0.433569, SP=9.086319 +- 5.316538
nov=0.10: HV=3573.149207 +- 410.006195, EU=16.231355 +- 0.445849, SP=8.697462 +- 4.880894
nov=0.20: HV=3404.924665 +- 386.583837, EU=15.888882 +- 0.417922, SP=9.164954 +- 6.850367

